price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,year_sold,house_age,renovated,season,year_built_encoded
538000.0,3,2.25,2570,7242,2.0,0,0,2,7,2170,400.0,47.721,-122.319,2014,63,1,1,3
604000.0,4,3.0,1960,5000,1.0,0,0,4,7,1050,910.0,47.5208,-122.393,2014,49,0,1,4
510000.0,3,2.0,1680,8080,1.0,0,0,2,8,1680,0.0,47.6168,-122.045,2015,28,0,1,5
1230000.0,4,4.5,5420,101930,1.0,0,0,2,11,3890,1530.0,47.6561,-122.005,2014,13,0,2,6
229500.0,3,1.0,1780,7470,1.0,0,0,2,7,1050,730.0,47.5123,-122.337,2015,55,0,2,3
323000.0,3,2.5,1890,6560,2.0,0,0,2,7,1890,0.0,47.3684,-122.031,2015,12,0,2,6
468000.0,2,1.0,1160,6000,1.0,0,0,3,7,860,300.0,47.69,-122.292,2014,72,0,2,3
400000.0,3,1.75,1370,9680,1.0,0,0,3,7,1370,0.0,47.6127,-122.045,2014,37,0,4,4
530000.0,5,2.0,1810,4850,1.5,0,0,2,7,1810,0.0,47.67,-122.394,2015,115,0,2,0
650000.0,4,3.0,2950,5000,2.0,0,3,2,9,1980,970.0,47.5714,-122.375,2015,36,0,1,4
395000.0,3,2.0,1890,14040,2.0,0,0,2,7,1890,0.0,47.7277,-121.962,2014,20,0,3,5
485000.0,4,1.0,1600,4300,1.5,0,0,3,7,1600,0.0,47.6648,-122.343,2014,98,0,2,1
230000.0,3,1.0,1250,9774,1.0,0,0,3,7,1250,0.0,47.3343,-122.306,2015,46,0,2,4
385000.0,4,1.75,1620,4980,1.0,0,0,3,7,860,760.0,47.7025,-122.341,2014,67,0,2,3
2000000.0,3,2.75,3050,44867,1.0,0,4,2,9,2330,720.0,47.5316,-122.233,2014,46,0,3,4
285000.0,5,2.5,2270,6300,2.0,0,0,2,8,2270,0.0,47.3266,-122.169,2014,19,0,3,5
329000.0,3,2.25,2450,6500,2.0,0,0,3,8,2450,0.0,47.3739,-122.172,2014,29,0,4,5
233000.0,3,2.0,1710,4697,1.5,0,0,4,6,1710,0.0,47.3048,-122.218,2014,73,0,4,3
667000.0,3,1.0,1400,1581,1.5,0,0,4,8,1400,0.0,47.6221,-122.314,2014,105,0,1,1
719000.0,4,2.5,2570,7173,2.0,0,0,2,8,2570,0.0,47.7073,-122.11,2015,10,0,2,6
580500.0,3,2.5,2320,3980,2.0,0,0,2,8,2320,0.0,47.5391,-122.07,2014,11,0,4,6
280000.0,2,1.5,1190,1265,3.0,0,0,2,7,1190,0.0,47.7274,-122.357,2014,9,0,1,6
687500.0,4,1.75,2330,5000,1.5,0,0,3,7,1510,820.0,47.6823,-122.368,2014,85,0,3,2
535000.0,3,1.0,1090,3000,1.5,0,0,3,8,1090,0.0,47.6889,-122.375,2014,85,0,4,2
322500.0,4,2.75,2060,6659,1.0,0,0,2,7,1280,780.0,47.4276,-122.157,2014,33,0,1,5
696000.0,3,2.5,2300,3060,1.5,0,0,2,8,1510,790.0,47.6827,-122.31,2014,84,1,3,2
550000.0,4,1.0,1660,34848,1.0,0,0,0,5,930,730.0,47.6621,-122.132,2014,81,0,2,2
640000.0,4,2.0,2360,6000,2.0,0,0,3,8,2360,0.0,47.6702,-122.362,2014,110,0,1,1
240000.0,4,1.0,1220,8075,1.0,0,0,1,7,890,330.0,47.3341,-122.282,2015,46,0,1,4
605000.0,4,2.5,2620,7553,2.0,0,0,2,8,2620,0.0,47.5301,-122.18,2014,18,0,3,5
775000.0,4,2.25,4220,24186,1.0,0,0,2,8,2600,1620.0,47.445,-122.347,2014,30,0,3,5
685000.0,3,1.0,1570,2280,2.0,0,0,2,7,1570,0.0,47.6413,-122.364,2014,92,0,4,2
309000.0,3,1.0,1280,9656,1.0,0,0,3,6,920,360.0,47.4485,-122.175,2014,55,0,3,3
210490.0,3,1.0,990,8528,1.0,0,0,2,6,990,0.0,47.3066,-122.371,2015,49,0,2,4
785000.0,4,2.5,2290,13416,2.0,0,0,3,9,2290,0.0,47.6194,-122.151,2014,33,0,3,5
450000.0,3,1.75,1250,5963,1.0,0,0,3,7,1250,0.0,47.6796,-122.301,2015,62,0,2,3
1350000.0,3,2.5,2753,65005,1.0,1,1,4,9,2165,588.0,47.4041,-122.451,2015,62,0,2,3
228000.0,3,1.0,1190,9199,1.0,0,0,2,7,1190,0.0,47.4258,-122.322,2014,59,0,4,3
345000.0,5,2.5,3150,9134,1.0,0,0,3,8,1640,1510.0,47.4934,-122.189,2015,49,0,1,4
585000.0,2,1.75,1980,8550,1.0,0,0,2,7,990,990.0,47.6989,-122.369,2015,34,0,1,5
920000.0,5,2.25,2730,6000,1.5,0,0,2,8,2130,600.0,47.6571,-122.281,2015,88,0,2,2
301000.0,3,2.5,2420,4750,2.0,0,0,2,8,2420,0.0,47.3663,-122.122,2015,12,0,2,6
430000.0,4,3.0,1850,9976,2.0,0,0,2,8,1850,0.0,47.5059,-122.149,2015,24,0,1,5
289000.0,3,1.75,1260,8400,1.0,0,0,2,7,1260,0.0,47.4366,-122.335,2014,60,0,3,3
549000.0,3,1.75,1540,1044,3.0,0,0,2,8,1540,0.0,47.6765,-122.32,2014,0,0,1,6
425000.0,3,2.25,1660,6000,1.0,0,0,2,7,1110,550.0,47.6113,-122.297,2014,35,0,3,4
317625.0,3,2.75,2770,3809,1.5,0,0,4,7,1770,1000.0,47.5747,-122.304,2014,89,0,4,2
